카테고리,병원 이름,위치,이벤트 제목,가격
보톡스,디아이성형외과,서울 강남역,DI 서머컷,"440,000원"
보톡스,저스트성형외과의원,서울 강남역,저스트 제오민 보톡스,"66,000원"
보톡스,에르네의원,서울 강남역,강남 에르네의원 다한증보톡스 겨땀주사,"110,000원"
보톡스,헤이븐의원,대구 중앙로역,헤이븐 주름보톡스 3부위 체험가 이벤트,"10,890원"
보톡스,나나성형외과의원,서울 압구정로데오역,커스텀하이코 나나코핏 특가,"330,000원"
보톡스,리버스클리닉-수원,경기,"땀 고민 끝, 다한증보톡스, 겨드랑이 손바닥 발바닥 이마","121,000원"
보톡스,강남아이디의원,서울 강남역,강남 아이디 침샘보톡스,"88,000원"
보톡스,보셀르의원,서울 압구정로데오역,청담 보셀르 사각턱보톡스,"31,900원"
보톡스,올라인의원,서울 홍대입구역,슬림라인주사 무제한 팔뚝 1부위 & 승모근 스완넥 하이톡스,"283,800원"
보톡스,디캐럿의원,서울 압구정로데오역,깨끗하고 매끈한 피부 요철 패키지,"660,000원"
보톡스,리버스클리닉-강남,서울 강남역,겨드랑이 다한증보톡스로 매일매일 뽀송하게,"121,000원"
보톡스,유앤아이의원-부산점,부산 서면역,유앤아이 종아리&승모근 바디보톡스,"71,500원"
보톡스,리프톤피부과의원,서울 신사역,승모근 보톡스,"99,000원"
보톡스,유앤아이의원-창원점,경남,유앤아이 순백주사,"141,900원"
보톡스,삼사오성형외과의원,서울 신논현역,삼사오 숄더라인주사,"221,000원"
보톡스,오크우드봄의원,서울 삼성역,V라인 사각턱보톡스,"55,000원"
보톡스,리버스클리닉-인천,인천,종아리에서 발목까지 매끄럽고 슬림한 다리 라인,"275,000원"
보톡스,매그넘의원,부산 온천장역,보송보송 겨드랑이제모&겨땀주사&팔하완제모,"108,900원"
보톡스,더붐의원,부산 서면역,더붐 첫방문 풀페이스 스킨보톡스 하이톡스,"99,000원"
보톡스,아미스킨의원-명동점,서울 명동역,이쁜 인중고양이 인중축소_필러&보톡스,"429,000원"
보톡스,브이에스(VS)라인의원-일산점,경기 정발산역,VS라인이 제안하는 스킨보톡스,"60,500원"
보톡스,리버스클리닉-홍대,서울,얼굴전체 쥬베룩볼륨 2cc 스킨보톡스 슈링크유니버스 600샷 선타입 부스터타입,"495,000원"
보톡스,자연주의성형외과의원,서울 신사역,자연주의 보톡스 모음전,"33,000원"
보톡스,강남아이디의원,서울 강남역,강남 아이디 스킨보톡스,"88,000원"
보톡스,미자인의원,서울 압구정역,동안 탄력 미자인 올리지오리프팅,"280,000원"
보톡스,누가참의원,경기 신중동역,보톡스,"16,000원"
보톡스,순플러스성형외과,서울 신사역,순플러스 릴리이드M,"99,000원"
보톡스,더차오름의원,대구 죽전역,더차오름 주름보톡스,"22,000원"
보톡스,아미스킨의원-명동점,서울 명동역,수술없이 빠르고 매끄럽게 목주름 지우개,"825,000원"
보톡스,좋은날피부과의원,서울,내성적은 제오민보톡스 1년무제한_얼굴에 한함,"990,000원"
보톡스,고운세상피부과의원-목동점,서울 목동역,이마 미간 보톡스 국산보톡스,"77,000원"
보톡스,리버스클리닉-홍대,서울,"침샘보톡스, 살도 부기도 아니라면 범인은 침샘비대증","108,900원"
보톡스,케이톡스의원-인천구월점,인천 인천터미널역,사각턱보톡스 V,"27,500원"
보톡스,리버스클리닉-명동,서울,"눈밑주름 집중 패키지로 한방에 고민 해결, 아이볼뉴머 써펙트 아이러빙 눈밑스킨보톡스","539,000원"
보톡스,드림페이스의원,서울 홍대입구역,코어톡스 보톡스,"33,000원"
보톡스,클림의원-홍대점,서울 홍대입구역,클림 바디지방 분해주사,"97,900원"
보톡스,비비의원,서울 강남역,숨어있는 V라인 비비 윤곽톡스,"135,000원"
보톡스,브이에스(VS)라인의원-일산점,경기 정발산역,일자라인어깨_승모근보톡스 100u & 바디조각주사,"198,000원"
보톡스,핑슬림의원,서울 양재역,ALL하체 5부위까지 동시에,"550,000원"
보톡스,연세루다의원,서울 신사역,연세루다 입꼬리 보톡스,"55,000원"
보톡스,오블리브의원,인천 인천대입구역,"윤곽톡스_얼굴라인, 이중턱 고민 한 번에 해결_인천 송도","89,000원"
보톡스,미미썸의원-부산덕천점,부산 덕천역,코조각주사 콧볼보톡스1회,"121,000원"
보톡스,치유성형외과의원,서울 신사역,Chiu 목주름필러 바이리즌_목주름보톡스 목주름지우개 리쥬란힐러,"440,000원"
보톡스,레이의원,서울 압구정로데오역,종아리알 보톡스 근육 트리플렉스 스키니,"1,529,000원"
보톡스,밸런스랩성형외과의원,서울 신사역,목주름 삭제 리프팅,"1,639,000원"
보톡스,사적인아름다움지유의원,서울 신논현역,하루만에 가능한 원데이 패키지 NO.2,"890,000원"
보톡스,리즈의원,부산 센텀역,고급 목주름필러,"363,000원"
보톡스,리버스클리닉-강남,서울 강남역,"침샘보톡스, 살도 부기도 아니라면 범인은 침샘비대증","108,900원"
보톡스,리버스클리닉-인천,인천,"땀 고민 끝, 다한증보톡스, 겨드랑이 손바닥 발바닥 이마","121,000원"
보톡스,아비쥬의원-일산점,경기 정발산역,아비쥬의원 - 종아리보톡스 200유닛,"97,900원"
보톡스,두드림성형외과,서울 강남역,두드림 풀페이스리프팅,"990,000원"
보톡스,오늘성형외과의원,서울 신사역,"수면 리쥬란힐러, 릴리이드M, 더모톡신","759,000원"
보톡스,더차오름의원,대구 죽전역,더차오름 입술필러,"150,000원"
보톡스,드림페이스의원,서울 홍대입구역,제오민보톡스,"66,000원"
보톡스,헤이븐의원,대구 중앙로역,헤이븐 스킨보톡스 이벤트,"9,790원"
보톡스,리엔장의원-목동점,서울 오목교역,목동_목주름보톡스,"75,900원"
보톡스,르미엘성형외과의원,서울 종로3가역,리쥬란 물광주사 스킨보톡스 진정관리까지 다받는 슈퍼 물광 리쥬란,"440,000원"
보톡스,영영성형외과의원,서울 강남역,갸름해지는 사각턱보톡스,"22,000원"
보톡스,아비쥬의원-홍대점,서울 홍대입구역,아비쥬의원 - 종아리보톡스 200유닛,"97,900원"
보톡스,와이랩성형외과의원,인천 부평역,오래가는 스킨바이브 1cc,"330,000원"
보톡스,유앤미의원,서울 강남역,"다양한 시술 옵션, 나이 들어 보이는 목주름을 제거하는 목주름 시술","198,000원"
보톡스,사적인아름다움지유의원,서울 신논현역,하루만에 가능한 원데이 패키지 NO.5,"3,990,000원"
보톡스,플라덴성형외과의원,서울 신사역,쓱싹 목주름 지우개,"220,000원"
보톡스,두드림성형외과,서울 강남역,두드림 아기피부리프팅,"770,000원"
보톡스,강남아이디의원,서울 강남역,강남 아이디 바디보톡스,"165,000원"
보톡스,리엔의원,경기 보정역,리엔 첫방문 보톡스,"44,000원"
보톡스,아트너의원-죽전점,대구 죽전역,"대구 종아리보톡스, 종아리깎이주사","187,000원"
보톡스,젠의원,부산 센텀시티역,젠의원 입술필러,"176,000원"
보톡스,휴먼피부과의원-평택점,경기 평택역,휴먼평택_내성 적은 제오민 보톡스,"100,000원"
보톡스,리엔장의원-목동점,서울 오목교역,목동 목주름패키지,"295,900원"
보톡스,플랜비성형외과의원,부산 서면역,플랜비 v라인패키지,"132,000원"
보톡스,사적인아름다움지유의원,서울 신논현역,하루만에 가능한 원데이 패키지 NO.3,"1,890,000원"
보톡스,일미리성형외과의원,서울 강남역,1mm 토탈 보톡스,"66,000원"
보톡스,연세루다의원,서울 신사역,연세루다 어깨필러 & 승모근보톡스,"781,000원"
보톡스,세이렌의원,서울 서울대입구역,"세이렌 아몬드 V컷, 스킨보톡스","154,000원"
보톡스,바노바기성형외과의원,서울 역삼역,바노바기 초음파 보톡스,"242,000원"
보톡스,아이케이성형외과의원,서울 신논현역,"주름개선, 자연스럽게 티 거의 안나게 아이케이 보톡스","22,000원"
보톡스,강남스마일의원,서울 한티역,나보타 체험가 사각턱보톡스,"60,000원"
보톡스,오두종성형외과의원,부산 서면역,스킨보톡스 코어톡스,"165,000원"
보톡스,힐스피부과의원,대구,힐스 사각턱 보톡스,"55,000원"
보톡스,동탄아이디의원,경기,동탄 아이디 얼굴전체 스킨보톡스,"110,000원"
보톡스,동탄엔케이의원,경기,동탄엔케이 보톡스,"32,600원"
보톡스,휴먼피부과의원-광명철산점,경기 철산역,광명철산 최초도입 4세대 써마지 리프팅,"2,079,000원"
보톡스,청담에프엔비의원(청담FnB의원),대구 반월당역,대구 바디보톡스 100유닛,"77,000원"
보톡스,플랜비성형외과의원,부산 서면역,플랜비 스킨부스터패키지,"385,000원"
보톡스,노블클래식의원-분당점,경기 야탑역,사각턱 보톡스 노블 - 분당 턱보톡스 성남 판교 야탑 턱보톡스 국산 수입 제오민,"99,000원"
보톡스,제로의원-수원점,경기 수원시청역,수원-여리한 일자다리패키지 발목 종아리 지방분해주사 걸그룹다리 날씬종아리 슬림다리라인,"165,000원"
보톡스,닥터디자이너의원-대구점,대구 반월당역,대구 시그니쳐 디자인 입술필러,"165,000원"
보톡스,데일리즈의원,경기 정발산역,데일리즈 시그니처 입매개선 필러&보톡스,"385,000원"
보톡스,세이렌의원,서울 서울대입구역,"볼륨업 올림입술필러, 입꼬리보톡스","165,000원"
보톡스,스케줄의원,서울 압구정로데오역,스케줄 포텐자와 스킨부스터 효과,"220,000원"
보톡스,동탄아이디의원,경기,동탄 아이디 주름보톡스,"33,000원"
보톡스,뷰테스의원,서울 대모산입구역,뷰테스 제오민 보톡스,"77,000원"
보톡스,예쁜나의원,서울 청량리역,국산 주름개선 보톡스 4부위,"66,000원"
보톡스,클림의원-홍대점,서울 홍대입구역,클림 입술필러,"86,900원"
보톡스,오체안피부과의원-강남점,서울 수서역,내성적은 제오민 보톡스&스킨보톡스,"99,000원"
보톡스,고운의원,경기 춘의역,얼굴라인을 새롭게 보톡스,"66,000원"
보톡스,라인의정석의원,서울 논현역,라인의정석 쁘띠대잔치,"66,000원"
보톡스,닥터스팟여성의원,경기 장지역,보톡스,"42,900원"
보톡스,강남테라성형외과의원,경기 상동역,봉긋이마필러,"88,000원"
보톡스,닥터스피부과의원-대구점,대구 범어역,피부과전문의 울쎄라 리프팅 300샷,"957,000원"
보톡스,신아웰니스의원,대전 정부청사역,텐써마 리프팅 150샷,"250,000원"
보톡스,닥터오의원,서울 문래역,브이컷 디자인 슈링크,"176,000원"
보톡스,프라임의원,서울 장승배기역,내성 적은 보톡스,"110,000원"
보톡스,나인피부과-강남점,서울 신논현역,NEW런칭 스킨바이브,"212,000원"
보톡스,닥터스피부과의원-대구점,대구 범어역,대구 써마지FLX 600샷_ 피부과 전문의,"1,969,000원"
보톡스,타토아의원-위례점,경기 복정역,위례 타토아 인기보톡스 모음,"44,000원"
보톡스,브이에이성형외과의원,서울 신사역,VA바디보톡스,"64,900원"
보톡스,리드성형외과의원,서울 도곡역,리드 주름보톡스 모음전,"50,000원"
보톡스,타토아의원-위례점,경기 복정역,위례 타토아 입술&입꼬리필러&입꼬리보톡스,"198,000원"
보톡스,헤이븐의원,대구 중앙로역,헤이븐 첫방문 주름보톡스 택1 이벤트,"2,200원"
보톡스,더이뻐의원,서울 신사역,EYEPPO 아이뻐 패키지,"297,000원"
보톡스,더이뻐의원,서울 신사역,더이뻐 턱끝 패키지,"108,900원"
보톡스,비긴성형외과의원,서울 신사역,비긴 글로우 솔루션,"56,000원"
보톡스,닥터오의원,서울 문래역,릴리이드M 급속물광충전,"88,000원"
보톡스,페이스필터의원-수원점,경기 성균관대역,물광피부 리쥬란힐러,"200,000원"
보톡스,연세미니성형외과,세종,입술필러는 레스틸렌,"385,000원"
보톡스,리엔의원,경기 보정역,"겨드랑이, 두피 보톡스","150,000원"
보톡스,보셀르의원,서울 압구정로데오역,청담 보셀르 주름보톡스,"20,900원"
보톡스,레이의원,서울 압구정로데오역,무알주사 종아리알 보톡스,"660,000원"
보톡스,청담타임성형외과의원,서울 신사역,또렷한 V라인 침샘보톡스,"220,000원"
보톡스,유앤아이의원-수원점,경기 수원역,"유앤아이 순백주사_모공,주름,화이트닝","264,000원"
보톡스,제이오성형외과의원,부산 서면역,"부산 입술필러_뉴라미스,제이오","99,000원"
보톡스,레픽의원,서울 강남역,꼬리까지 예쁜 입술 입술필러&입꼬리보톡스,"209,000원"
보톡스,세이렌의원,서울 서울대입구역,세이렌 수면 울쎄라100샷,"330,000원"
보톡스,봄빛의원,서울 이촌역,"벨로테로 입술, 입꼬리 보톡스","286,000원"
보톡스,페이스필터의원-수원점,경기 성균관대역,비스포크 입술&입꼬리필러 패키지,"319,000원"
보톡스,아트너의원-부산점,부산 서면역,"부산 팔뚝보톡스, 팔뚝깎이주사","187,000원"
보톡스,골든디아망성형외과의원,서울 압구정로데오역,리쥬란 힐링 이벤트,"700,000원"
보톡스,처음부터 댄의원,경남,보톡스 이벤트,"88,000원"
보톡스,보셀르의원,서울 압구정로데오역,청담 보셀르 텐쎄라톡스_텐쎄라&사각턱보톡스,"385,000원"
보톡스,천안엘츠의원,충남 천안역,"천안_첫방문 턱 보톡스 국산,수입","55,000원"
보톡스,리드성형외과의원,서울 도곡역,리드 사각턱 보톡스,"100,000원"
보톡스,클림의원-명동점,서울 명동역,클림 입술필러,"141,900원"
보톡스,보셀르의원,서울 압구정로데오역,청담 보셀르 승모근보톡스,"108,900원"
보톡스,레이의원,서울 압구정로데오역,"팔뚝 근육, 지방 더블샷 주사","319,000원"
보톡스,클림의원-명동점,서울 명동역,클림 부위별 맞춤필러,"150,700원"
보톡스,아트너의원-부산점,부산 서면역,"부산 종아리보톡스, 종아리깎이주사","187,000원"
보톡스,밀리의원-도산점,서울 압구정로데오역,"써마지, 도산 밀리클리닉에서","2,200,000원"
보톡스,청담준의원,서울 상봉역,"온다리프팅 6만줄, 얼굴전체스킨톡스","759,000원"
보톡스,브라운성형외과의원,서울 신논현역,브라운_바디보톡스,"53,900원"
보톡스,세이렌의원,서울 서울대입구역,세이렌 겨드랑이 다한증 보톡스,"121,000원"
보톡스,데일리즈의원,경기 정발산역,데일리즈 이마 광채주사,"132,000원"
보톡스,라미체성형외과,서울 잠실새내역,라미체 리쥬톡스,"440,000원"
보톡스,클림의원-명동점,서울 명동역,클림 침샘보톡스,"86,900원"
보톡스,헤이븐의원,대구 중앙로역,헤이븐 넥라인 보톡스 이벤트,"330,000원"
보톡스,천안엘츠의원,충남 천안역,천안_엘츠 바디 보톡스,"96,800원"
보톡스,더리즈의원,서울 선릉역,더리즈 보톡스,"84,150원"
보톡스,닥터오의원,서울 문래역,통증적은 물광 충전,"89,000원"
보톡스,레브치과의원,서울 신사역,이갈이 보톡스 코어톡스 50유닛 양쪽 기준,"99,000원"
보톡스,자연예쁨의원,서울 강남역,탱탱팡팡 예쁨입술 & 애교필러,"390,000원"
보톡스,동탄엔케이의원,경기,겨드랑이 다한증 보톡스,"143,000원"
보톡스,더퍼스트피부과의원-부산본점,부산 화명역,피부과전문의 보톡스,"44,000원"
보톡스,바로그의원-부천점,경기 부천시청역,모공싹&탄력쫀쫀_스킨보톡스,"88,000원"
보톡스,천안엘츠의원,충남 천안역,천안_첫방문 침샘보톡스,"88,000원"
보톡스,아트너의원-반월당점,대구 반월당역,"대구 종아리보톡스, 종아리깎이주사","187,000원"
보톡스,아트너의원-반월당점,대구 반월당역,"대구 팔뚝보톡스, 팔뚝깎이주사","187,000원"
보톡스,워너비의원,부산 센텀시티역,"부산워너비 아이리쥬란,아이스킨보톡스","165,000원"
보톡스,팝의원-대전둔산점,대전 시청역,미간보톡스 1회체험가,"10,890원"
보톡스,도곡유스앤영의원,서울 도곡역,쥬베룩,"550,000원"
보톡스,서래셀의원,서울 고속터미널역,순도높은 국산 보톡스,"53,900원"
보톡스,천안엘츠의원,충남 천안역,천안_엘츠 다한증 보톡스,"96,800원"
모발이식,리스펙성형외과의원,서울 강남역,리스펙 이마축소,"2,300,000원"
모발이식,옥건헤어라인의원,서울 논현역,자연스러운 헤어라인 모발이식,"3,190,000원"
모발이식,강남로미모의원,서울 강남역,로미모 모발이식 1000모,"1,300,000원"
모발이식,동작에스엔재활의학과의원,서울 신대방삼거리역,동작SN 원장 정밀진단 & 프리미엄 관리 & 맞춤 두피 메조테라피,"99,000원"
모발이식,서진성형외과의원,서울 압구정역,추가금없는_서진 헤어라인 비절개 모발이식 3000모,"3,960,000원"
모발이식,동작에스엔재활의학과의원,서울 신대방삼거리역,동작SN 원장현미경진단 & 프리미엄 관리 & 두피 엑소좀,"111,000원"
모발이식,서진성형외과의원,서울 압구정역,서진 헤어라인 절개 모발이식,"990,000원"
모발이식,모든모의원,서울 신사역,프리미엄 비절개모발이식 천모,"1,880,000원"
모발이식,모모성형외과의원,서울 압구정역,얼굴이 확 작아지는 얼굴축소 모발이식,"825,000원"
모발이식,모앤블레스의원,서울 압구정역,메조테라피 탈모치료,"110,000원"
모발이식,모모성형외과의원,서울 압구정역,얼굴형 재창조 모발이식,"1,650,000원"
모발이식,모모성형외과의원,서울 압구정역,스타일을 채우는 포마드 모발이식,"825,000원"
모발이식,동작에스엔재활의학과의원,서울 신대방삼거리역,동작SN 원장 정밀진단 & 프리미엄 관리 & 셀엑소좀 두피 메조테라피,"133,000원"
모발이식,모프로의원,서울 신사역,모프로의원 모발이식,"990,000원"
모발이식,신소애여성의원,서울 언주역,PRP 두피 탈모 케어,"150,000원"
모발이식,오케이의원,서울 청담역,헤어라인모발이식 1천모,"825,000원"
모발이식,서진성형외과의원,서울 압구정역,이마축소 헤어라인 모발이식,"990,000원"
모발이식,모모성형외과의원,서울 압구정역,모발을 튼튼하게 만드는 모낭강화주사 탈모치료,"55,000원"
모발이식,디에이성형외과의원,서울 역삼역,회복빠른_비절개 헤어라인모발이식_머리모발이식,"990,000원"
모발이식,모모성형외과의원,서울 압구정역,볼륨빵빵 모모 탈모치료,"49,000원"
모발이식,서울아이성형외과의원,서울 강남역,서울대의료진의 내추럴 모발이식,"490,000원"
모발이식,에이치헤어의원,서울 신논현역,VIP 고급 비절개 이식,"1,700,000원"
모발이식,에이치헤어의원,서울 신논현역,VIP프리미엄 비절개 이식,"1,700,000원"
모발이식,압구정 리치모아의원,서울 압구정역,비절개 모발이식 & 생착률보장 리터치,"1,450,000원"
모발이식,모든모의원,서울 신사역,프리미엄 여성헤어라인교정 천모,"1,880,000원"
모발이식,서진성형외과의원,서울 압구정역,추가금없는_서진 헤어라인 절개 모발이식 3000모,"2,970,000원"
모발이식,모프로의원,서울 신사역,자연스러운 헤어라인 모발이식 1000모,"2,400,000원"
모발이식,모우림의원,서울 압구정역,VIP 개인별 헤어라인 모발이식,"2,320,000원"
모발이식,모든모의원,서울 신사역,프리미엄 정수리이식 성공패키지,"4,680,000원"
모발이식,멘토의원,서울 대치역,탈모 치료에 진심인 6가지 복합 재생 치료,"145,000원"
모발이식,홀드의원,서울 강남역,탈모 성장 인자 MTS 레이저 치료 및 두피 스케일링_1회 체험가,"55,000원"
모발이식,모우림의원,서울 압구정역,자연스러운 헤어라인 모발이식,"1,950,000원"
모발이식,동작에스엔재활의학과의원,서울 신대방삼거리역,동작SN두피메조테라피 대표원장 현미경 진단 & 프리미엄 관리 & 두피 ASCE 엑소좀,"222,000원"
모발이식,모모성형외과의원,서울 압구정역,디테일의 완성 구레나룻 모발이식,"880,000원"
모발이식,글로비지테라안티에이징의원,서울 압구정역,지테라 탈모치료 & 메디컬 두피관리,"77,000원"
모발이식,디에이성형외과의원,서울 역삼역,자연스러운_여자 헤어라인 모발이식_절개1000모,"1,683,000원"
모발이식,에이치헤어의원,서울 신논현역,VIP 고급 절개 모발이식,"1,210,000원"
모발이식,서진성형외과의원,서울 압구정역,비절개 라인컷 모발이식 1000모,"1,540,000원"
모발이식,디에이성형외과의원,서울 역삼역,아이돌 헤어라인 모발이식,"1,683,000원"
모발이식,서진성형외과의원,서울 압구정역,서진 꽉꽉채운 대량 모발이식 4000모,"3,960,000원"
모발이식,청담오케이성형외과의원,서울 청담역,청담오케이 이마성형,"990,000원"
모발이식,오케이의원,서울 청담역,오케이 남자 모발이식 1천모,"825,000원"
모발이식,반하다의원,서울 압구정역,수면 줄기세포 두피주사,"484,000원"
모발이식,서진성형외과의원,서울 압구정역,PRP 이마축소 흉터커버 모발이식,"1,265,000원"
모발이식,서진성형외과의원,서울 압구정역,서진 헤어라인 비절개 모발이식 1000모,"1,320,000원"
모발이식,모우림의원,서울 압구정역,얼굴축소 여성 헤어라인 모발,"1,950,000원"
모발이식,서진성형외과의원,서울 압구정역,서진 풍성한 정수리 모발이식,"990,000원"
모발이식,모모의원-부산점,부산 범내골역,황금 비율 여성 모발이식,"825,000원"
모발이식,신통정형외과의원,경기 도농역,1회 체험이벤트 탈모 패키지,"33,000원"
모발이식,원진성형외과,서울 강남역,원진 모발이식,"880,000원"
모발이식,더뷰티성형외과의원,서울 논현역,더뷰티 이마축소,"1,990,000원"
모발이식,젬마의원,서울 압구정역,20년 전 가격 그대로 젬마 모발이식 비절개 3000모,"3,300,000원"
모발이식,모모의원-부산점,부산 범내골역,남성미 상승 모발이식,"825,000원"
모발이식,서진성형외과의원,서울 압구정역,비절개 무삭발 노컷 모발이식 1000모,"1,980,000원"
모발이식,청담오케이성형외과의원,서울 청담역,청담 오케이 고밀도모발이식,"3,025,000원"
모발이식,압구정 리치모아의원,서울 압구정역,무삭발 비절개 FN 모발이식,"2,000,000원"
모발이식,모텐셜의원,서울 압구정로데오역,모텐셜 비절개 모발이식,"3,366,000원"
모발이식,청담오케이성형외과의원,서울 청담역,청담오케이 남성 헤어라인 모발이식,"3,025,000원"
모발이식,다나성형외과의원,서울 신사역,다나 자연스러운 명품 헤어라인 모발이식 2000모,"4,200,000원"
모발이식,한나이브성형외과의원,경기 안양역,한나이브 PRP 두피 탈모케어,"99,000원"
모발이식,바람부는날에도 성형외과의원,서울 신사역,바람부는날에도_모발이식,"5,280,000원"
모발이식,모두모의원,서울 신사역,눈썹이식 - 모두모의원,"3,300,000원"
모발이식,글로웰의원,서울 여의도역,M자 이마 탈출 헤어라인,"1,300원"
모발이식,모우다의원,서울 압구정역,울트라 엑소쿨,"465,000원"
모발이식,모우다의원,서울 압구정역,두피 클린핏,"168,000원"
모발이식,모우다의원,서울 압구정역,두피 엑소딥,"445,000원"
모발이식,모우다의원,서울 압구정역,RF 엑소쿨,"465,000원"
모발이식,모우다의원,서울 압구정역,두피 쿨톡신,"316,000원"
모발이식,다나성형외과의원,서울 신사역,다나 메디컬 탈모치료,"165,000원"
모발이식,멘토의원,서울 대치역,비수술 모발이식 줄기세포 탈모치료 리제네라액티바,"1,210,000원"
모발이식,모프로의원,서울 신사역,모프로 탈모치료,"50,000원"
모발이식,모든모의원,서울 신사역,"성형,외상,절개,화상.. 모든 두피흉터 모발이식","1,980,000원"
모발이식,동작에스엔재활의학과의원,서울 신대방삼거리역,동작SN두피메조테라피 대표원장 현미경 진단 & 프리미엄 두피 관리 & 두피 셀엑소좀 블락라벨,"202,000원"
모발이식,모프로의원,서울 신사역,"풍성한 머리를 위해 밀도있게, 정수리모발이식 1000모","2,000,000원"
모발이식,포모아의원,부산 연산역,포모아_수염 이식,"1,320,000원"
모발이식,루비성형외과의원,서울 신사역,탈모보톡스,"242,000원"
모발이식,모두모의원,서울 신사역,모두모서울 비절개 모발이식,"1,100,000원"
모발이식,뷰성형외과,서울 신논현역,"뷰_머리모발이식, 헤어라인모발이식, 탈모","1,430,000원"
모발이식,뷰성형외과,서울 신논현역,"뷰_헤어라인모발이식, 머리모발이식, 탈모","1,430,000원"
모발이식,모텐셜의원,서울 압구정로데오역,탈모 치료 두피부스터 엑소좀 이벤트,"165,000원"
모발이식,밴스모자이너의원,서울 신논현역,비절개 모발이식 BIG이벤트,"199,000원"
모발이식,모두모의원,서울 신사역,탈모치료 주사 - 모두모 서울,"75,900원"
모발이식,헤어로의원-대구점,대구 범어역,대구_모발이식 & 헤어라인교정,"3,400,000원"
모발이식,모우다의원,서울 압구정역,두피 엑소쿨,"363,000원"
모발이식,포모아의원,부산 연산역,포모아_탈모 재생 주사&포모아 수액,"121,000원"
모발이식,돋움의원,서울 당산역,헤어라인 정수리 모발이식 3000모 이벤트,"2,800,000원"
모발이식,리즈모의원,대전 정부청사역,비절개 모발이식 500모,"715,000원"
모발이식,모우다의원,서울 압구정역,리쥬쿨,"366,000원"
모발이식,모우다의원,서울 압구정역,두피 연어쿨,"168,000원"
모발이식,헤어로의원-동탄점,경기 서동탄역,동탄_모발이식 & 헤어라인교정,"2,990,000원"
모발이식,포모아의원,부산 연산역,포모아_눈썹이식,"1,320,000원"
모발이식,헤어로의원-부산점,부산 서면역,부산_모발이식 & 헤어라인교정,"1,990,000원"
모발이식,헤어로의원-전주점,전북특별자치도 서울역,전주_모발이식 & 헤어라인교정,"3,100,000원"
모발이식,포모아의원,부산 연산역,포모아_구렛나루 이식,"880,000원"
제모,모던스탠다드의원,서울 신논현역,젠틀맥스프로플러스 남성 수염 제모,"49,500원"
제모,닥터쁘띠의원-홍대입구점,서울 홍대입구역,홍대입구 아포지플러스 여성 브라질리언 제모 5회,"249,000원"
제모,유메이비의원,서울 노원역,아포지플러스_여자제모,"9,500원"
제모,룩엣미의원,서울 문정역,여의사 1인실 여성제모,"33,000원"
제모,데이뷰의원-건대입구점,서울 건대입구역,젠틀맥스프로플러스 남성제모 Day,"19,000원"
제모,루비의원,서울 명동역,명동루비_브라질리언제모,"56,000원"
제모,룩엣미의원,서울 문정역,여의사 브라질리언 여성제모,"59,000원"
제모,유앤아이의원-영등포점,서울 영등포역,유앤아이 첫방문 여성 제모 이벤트 모음,"7,700원"
제모,데이뷰의원-강남점,서울 강남역,젠틀맥스프로플러스_여성 바디제모 Day,"25,000원"
제모,데이뷰의원-마포홍대점,서울 홍대입구역,젠틀맥스프로플러스 남성제모 Day,"43,000원"
제모,뷰티블라썸의원,서울 홍대입구역,1인실 여성 제모 아포지플러스,"39,900원"
제모,데이뷰의원-마포홍대점,서울 홍대입구역,여성 겨드랑이 제모 Day,"55,000원"
제모,리츠피부과의원,서울 강남역,여의사 브라질리언 제모,"330,000원"
제모,애플산부인과의원-천호점,서울 천호역,비접촉 아포지 레이저 제모_브라질리언,"64,900원"
제모,엘레브의원,서울 압구정로데오역,여의사 시술 엘레브_젠틀맥스프로 제모,"16,500원"
제모,우리성형외과,서울 선릉역,우리 젠틀맥스프로 여성 제모,"32,000원"
제모,유앤아이의원-부평점,인천 부평역,"유앤아이 여성 제모 이벤트 모음_겨드랑이,팔,종아리","13,200원"
제모,브이에스(VS)라인의원-인천구월점,인천 인천터미널역,인천 여성 겨드랑이&인중 제모,"27,500원"
제모,리버스클리닉-강남,서울 강남역,브라질리언 제모 6회 항문포함 아포지엘리트플러스,"262,900원"
제모,벨뷰의원,서울 강남역,브라질리언제모 아포지로 첫방문자 대상 이벤트.,"31,900원"
제모,데이뷰의원-강남점,서울 강남역,젠틀맥스프로플러스 남성제모 Day,"149,000원"
제모,데이뷰의원-의정부점,경기 의정부역,아포지플러스 남성제모 Day,"11,000원"
제모,브이에스(VS)라인의원-일산점,경기 정발산역,"여성 겨드랑이, 인중 제모_여의사 시술","7,700원"
제모,브이에스(VS)라인의원-인천구월점,인천 인천터미널역,인천 남자 수염 제모,"14,300원"
제모,데이뷰의원-안양범계점,경기 범계역,젠틀맥스 프로 플러스_여성제모 Day,"1,100원"
제모,유앤아이의원-대전점,대전 정부청사역,여성 레이저 제모 이벤트,"16,500원"
제모,유앤아이의원-안양점,경기 범계역,유앤아이 깔끔 여성 레이저제모 이벤트,"4,400원"
제모,제이필의원,서울 홍대입구역,"겨드랑이 3대 고민_제모, 미백, 겨땀 억제","11,000원"
제모,서울리샤인의원,서울 선릉역,리샤인 남자 수염 레이저제모,"66,000원"
제모,연세리즈클리닉,서울 신촌역,"남,여 제모_클라리티2 아이스 레이저","50,000원"
